[ep 44] R=-0.228 steps=26 tau=0.716 CI=0.071 gini=0.059
[ep 45] R=-0.191 steps=19 tau=0.663 CI=0.118 gini=0.149
[ep 46] R=-0.192 steps=22 tau=0.709 CI=0.080 gini=0.076
[ep 47] R=-0.276 steps=31 tau=0.729 CI=0.060 gini=0.180
[ep 48] R=-0.360 steps=40 tau=0.687 CI=0.072 gini=0.094
[ep 49] R=-0.772 steps=83 tau=0.683 CI=0.056 gini=0.066
[ep 50] R=-0.136 steps=15 tau=0.690 CI=0.098 gini=0.101
[ep 51] R=-0.103 steps=11 tau=0.737 CI=0.094 gini=0.100
[ep 52] R=-0.580 steps=62 tau=0.722 CI=0.073 gini=0.114
[ep 53] R=-1.295 steps=134 tau=0.667 CI=0.055 gini=0.104
[ep 54] R=-0.075 steps=9 tau=0.739 CI=0.103 gini=0.094
[ep 55] R=-0.196 steps=22 tau=0.702 CI=0.082 gini=0.127
[ep 56] R=-0.110 steps=12 tau=0.656 CI=0.088 gini=0.096
[ep 57] R=-0.666 steps=72 tau=0.709 CI=0.061 gini=0.214
[ep 58] R=-0.198 steps=21 tau=0.684 CI=0.106 gini=0.099
[ep 59] R=-0.189 steps=20 tau=0.626 CI=0.106 gini=0.073
[ep 60] R=-0.792 steps=84 tau=0.702 CI=0.043 gini=0.082
[ep 61] R=-0.876 steps=91 tau=0.694 CI=0.065 gini=0.167
[ep 62] R=-0.240 steps=26 tau=0.689 CI=0.092 gini=0.047
[ep 63] R=-0.841 steps=89 tau=0.690 CI=0.058 gini=0.112
[ep 64] R=-0.171 steps=18 tau=0.712 CI=0.091 gini=0.206
[ep 65] R=-0.166 steps=19 tau=0.691 CI=0.079 gini=0.116
[ep 66] R=-0.373 steps=42 tau=0.694 CI=0.059 gini=0.163
[ep 67] R=-0.172 steps=19 tau=0.699 CI=0.082 gini=0.167
[ep 68] R=-0.993 steps=104 tau=0.722 CI=0.049 gini=0.118
[ep 69] R=-0.060 steps=6 tau=0.762 CI=0.097 gini=0.155
[ep 70] R=-0.292 steps=33 tau=0.652 CI=0.061 gini=0.120
[ep 71] R=-0.556 steps=61 tau=0.695 CI=0.061 gini=0.066
[ep 72] R=-0.566 steps=61 tau=0.679 CI=0.058 gini=0.137
[ep 73] R=-0.251 steps=28 tau=0.750 CI=0.072 gini=0.153
[ep 74] R=-0.459 steps=51 tau=0.620 CI=0.067 gini=0.098
[ep 75] R=-0.155 steps=16 tau=0.626 CI=0.101 gini=0.122
[ep 76] R=-0.119 steps=14 tau=0.699 CI=0.077 gini=0.089
[ep 77] R=-0.510 steps=56 tau=0.738 CI=0.061 gini=0.085
[ep 78] R=-0.328 steps=35 tau=0.660 CI=0.081 gini=0.167
